round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
1,2.720244,0.010182,0.010182,0.010182,0.010182,0.186127,0.166716,0.003446,0.342439,0.010182,0.000376
2,2.285505,0.370544,0.370544,0.370544,0.370544,0.235908,0.497088,0.28374,0.151608,0.370544,0.211126
3,2.079912,0.37096,0.37096,0.37096,0.37096,0.238116,0.498289,0.285459,0.151929,0.37096,0.211424
4,2.021457,0.371089,0.371089,0.371089,0.371089,0.400986,0.49908,0.283981,0.234416,0.371089,0.211214
5,1.973237,0.371155,0.371155,0.371155,0.371155,0.402418,0.499259,0.284902,0.234588,0.371155,0.211359
6,1.949664,0.371233,0.371233,0.371233,0.371233,0.401419,0.499541,0.285174,0.2342,0.371233,0.211531
7,1.97078,0.373151,0.373151,0.373151,0.373151,0.403404,0.503315,0.294138,0.234398,0.373151,0.21541
8,1.927816,0.37236,0.37236,0.37236,0.37236,0.403122,0.501949,0.290607,0.234546,0.37236,0.213874
9,1.809774,0.371747,0.371747,0.371747,0.371747,0.402928,0.500775,0.287999,0.23459,0.371747,0.212701
10,1.828546,0.376398,0.376398,0.376398,0.376398,0.401449,0.510332,0.30611,0.234379,0.376398,0.221518
11,1.826615,0.378367,0.378367,0.378367,0.378367,0.404244,0.514031,0.31448,0.234678,0.378367,0.224916
12,1.796506,0.375692,0.375692,0.375692,0.375692,0.505128,0.508916,0.305328,0.235082,0.375692,0.220195
13,1.923926,0.372694,0.372694,0.372694,0.372694,0.503897,0.502996,0.292979,0.234975,0.372694,0.214582
14,1.961637,0.380405,0.380405,0.380405,0.380405,0.462415,0.518125,0.323166,0.235107,0.380405,0.228396
15,1.704668,0.37697,0.37697,0.37697,0.37697,0.516678,0.511423,0.310318,0.235136,0.37697,0.222535
16,1.953043,0.377436,0.377436,0.377436,0.377436,0.516771,0.512492,0.31228,0.235132,0.377436,0.223408
17,1.708926,0.377388,0.377388,0.377388,0.377388,0.489632,0.512286,0.312281,0.23515,0.377388,0.223306
18,1.627173,0.379752,0.379752,0.379752,0.379752,0.5747,0.516797,0.321321,0.235542,0.379752,0.227335
19,1.679412,0.372315,0.372315,0.372315,0.372315,0.489729,0.501982,0.292103,0.235265,0.372315,0.213823
20,1.730525,0.375019,0.375019,0.375019,0.375019,0.490769,0.507466,0.303631,0.235367,0.375019,0.219
21,1.777871,0.371929,0.371929,0.371929,0.371929,0.490793,0.501516,0.291712,0.235415,0.371929,0.21308
22,1.643283,0.377434,0.377434,0.377434,0.377434,0.483123,0.512252,0.313676,0.235503,0.377434,0.223325
23,1.622659,0.374991,0.374991,0.374991,0.374991,0.575177,0.507144,0.303656,0.235695,0.374991,0.218929
24,1.910593,0.380777,0.380777,0.380777,0.380777,0.576171,0.51875,0.32561,0.235709,0.380777,0.228987
25,1.779624,0.375187,0.375187,0.375187,0.375187,0.575211,0.507575,0.304454,0.235693,0.375187,0.21929
26,1.955292,0.383237,0.383237,0.383237,0.383237,0.577256,0.523505,0.334275,0.235806,0.383237,0.232904
27,1.872722,0.378617,0.378617,0.378617,0.378617,0.577371,0.514338,0.318634,0.235909,0.378617,0.225394
28,1.79635,0.376562,0.376562,0.376562,0.376562,0.493778,0.509865,0.310164,0.235717,0.376562,0.221784
29,2.063885,0.374634,0.374634,0.374634,0.374634,0.534338,0.506675,0.303377,0.235698,0.374634,0.21826
30,1.796457,0.377593,0.377593,0.377593,0.377593,0.521848,0.512032,0.314369,0.235805,0.377593,0.223596
