round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
122,0.731151,0.632672,0.632672,0.632672,0.632672,0.153684,0.126849,0.115536,0.985538,0.632672,0.769495
123,0.643128,0.767038,0.767038,0.767038,0.767038,0.151174,0.116613,0.118897,0.985015,0.767038,0.861977
124,0.772372,0.648156,0.648156,0.648156,0.648156,0.144635,0.11686,0.11325,0.984872,0.648156,0.781024
125,0.659049,0.774796,0.774796,0.774796,0.774796,0.076748,0.082875,0.067925,0.984872,0.774796,0.866677
126,0.850661,0.603974,0.603974,0.603974,0.603974,0.076559,0.071266,0.058426,0.984254,0.603974,0.747759
127,0.694193,0.733446,0.733446,0.733446,0.733446,0.076563,0.072291,0.065569,0.984456,0.733446,0.840172
128,0.941239,0.536825,0.536825,0.536825,0.536825,0.076562,0.07243,0.054254,0.984094,0.536825,0.69355
129,0.759967,0.665028,0.665028,0.665028,0.665028,0.076406,0.062199,0.061745,0.983624,0.665028,0.79321
130,0.989844,0.513616,0.513616,0.513616,0.513616,0.076557,0.072188,0.052714,0.984031,0.513616,0.673704
131,0.819045,0.609109,0.609109,0.609109,0.609109,0.07655,0.072683,0.058746,0.983992,0.609109,0.751585
132,1.039985,0.48581,0.48581,0.48581,0.48581,0.076523,0.068985,0.050774,0.98384,0.48581,0.649192
133,0.861023,0.578676,0.578676,0.578676,0.578676,0.076678,0.082249,0.057049,0.984596,0.578676,0.727623
