round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
31,0.092288,0.988674,0.988674,0.988674,0.988674,0.201189,0.252473,0.215927,0.989648,0.988674,0.988934
32,0.115815,0.9892,0.9892,0.9892,0.9892,0.190025,0.209148,0.196897,0.988519,0.9892,0.988804
33,0.215317,0.918008,0.918008,0.918008,0.918008,0.166113,0.164954,0.160526,0.987282,0.918008,0.951278
34,0.288858,0.873414,0.873414,0.873414,0.873414,0.167009,0.191431,0.157919,0.988032,0.873414,0.926707
35,0.293155,0.871206,0.871206,0.871206,0.871206,0.167156,0.192148,0.157773,0.988907,0.871206,0.925831
36,0.300706,0.871771,0.871771,0.871771,0.871771,0.168202,0.225769,0.159593,0.98973,0.871771,0.926144
37,0.306718,0.880627,0.880627,0.880627,0.880627,0.168889,0.24366,0.161646,0.99006,0.880627,0.93111
38,0.317995,0.886115,0.886115,0.886115,0.886115,0.169004,0.244321,0.162403,0.989962,0.886115,0.934146
39,0.322496,0.894094,0.894094,0.894094,0.894094,0.169185,0.244668,0.163508,0.989881,0.894094,0.93856
40,0.336747,0.881996,0.881996,0.881996,0.881996,0.16878,0.240641,0.161648,0.989739,0.881996,0.931772
41,0.323413,0.907276,0.907276,0.907276,0.907276,0.169374,0.240459,0.165121,0.989676,0.907276,0.945788
42,0.326929,0.914197,0.914197,0.914197,0.914197,0.16961,0.240569,0.166187,0.989684,0.914197,0.949571
43,0.323819,0.917747,0.917747,0.917747,0.917747,0.169779,0.241309,0.166815,0.989712,0.917747,0.951505
44,0.320102,0.921027,0.921027,0.921027,0.921027,0.169916,0.241283,0.167359,0.989725,0.921027,0.953288
45,0.313175,0.922648,0.922648,0.922648,0.922648,0.169996,0.241472,0.167652,0.989724,0.922648,0.954161
46,0.303528,0.92277,0.92277,0.92277,0.92277,0.169999,0.241418,0.167668,0.989728,0.92277,0.95423
47,0.315501,0.92102,0.92102,0.92102,0.92102,0.169965,0.242322,0.167442,0.98976,0.92102,0.95329
48,0.297492,0.925161,0.925161,0.925161,0.925161,0.170132,0.241819,0.168122,0.989747,0.925161,0.955524
49,0.321303,0.917257,0.917257,0.917257,0.917257,0.169758,0.241184,0.166725,0.989741,0.917257,0.951254
50,0.314722,0.929603,0.929603,0.929603,0.929603,0.170401,0.242564,0.169006,0.989768,0.929603,0.957913
51,0.341879,0.922665,0.922665,0.922665,0.922665,0.170028,0.242128,0.167709,0.98974,0.922665,0.954172
52,0.324961,0.935266,0.935266,0.935266,0.935266,0.170775,0.243514,0.170238,0.989538,0.935266,0.960824
53,0.355372,0.935495,0.935495,0.935495,0.935495,0.17075,0.243552,0.170314,0.989084,0.935495,0.960733
54,0.343042,0.943356,0.943356,0.943356,0.943356,0.213117,0.244873,0.172282,0.989409,0.943356,0.964859
55,0.355403,0.952901,0.952901,0.952901,0.952901,0.176545,0.246662,0.175577,0.989152,0.952901,0.969929
56,0.35278,0.95652,0.95652,0.95652,0.95652,0.176469,0.247924,0.178007,0.989125,0.95652,0.97182
57,0.383509,0.952485,0.952485,0.952485,0.952485,0.175643,0.251543,0.179323,0.989165,0.952485,0.969741
58,0.361092,0.960608,0.960608,0.960608,0.960608,0.177656,0.254668,0.18394,0.989177,0.960608,0.974008
59,0.41709,0.932848,0.932848,0.932848,0.932848,0.174687,0.265183,0.177131,0.989142,0.932848,0.959343
60,0.377767,0.941375,0.941375,0.941375,0.941375,0.176755,0.270909,0.181385,0.989272,0.941375,0.963922
