round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
92,0.474811,0.810396,0.810396,0.810396,0.810396,0.091288,0.121445,0.083129,0.987438,0.810396,0.889164
93,0.473915,0.871633,0.871633,0.871633,0.871633,0.091722,0.124243,0.087142,0.987472,0.871633,0.925057
94,0.525955,0.807439,0.807439,0.807439,0.807439,0.091297,0.121201,0.082969,0.987205,0.807439,0.887278
95,0.551521,0.871774,0.871774,0.871774,0.871774,0.091059,0.104731,0.086125,0.986411,0.871774,0.925062
96,0.562753,0.783735,0.783735,0.783735,0.783735,0.091168,0.119028,0.081439,0.987124,0.783735,0.872674
97,0.556191,0.868764,0.868764,0.868764,0.868764,0.092143,0.140813,0.087802,0.98807,0.868764,0.923355
98,0.567164,0.780682,0.780682,0.780682,0.780682,0.091216,0.122149,0.081334,0.987313,0.780682,0.870765
99,0.559846,0.866633,0.866633,0.866633,0.866633,0.091766,0.129939,0.087059,0.987564,0.866633,0.922137
100,0.534226,0.816525,0.816525,0.816525,0.816525,0.09135,0.123316,0.083567,0.987189,0.816525,0.892727
101,0.53768,0.861407,0.861407,0.861407,0.861407,0.09145,0.120652,0.086238,0.987204,0.861407,0.919177
102,0.507567,0.835304,0.835304,0.835304,0.835304,0.0914,0.123722,0.084738,0.987303,0.835304,0.903966
103,0.512817,0.868392,0.868392,0.868392,0.868392,0.090904,0.101321,0.085681,0.98642,0.868392,0.923214
104,0.448123,0.886654,0.886654,0.886654,0.886654,0.091732,0.124076,0.088074,0.987214,0.886654,0.933403
105,0.505452,0.857463,0.857463,0.857463,0.857463,0.090684,0.094127,0.084723,0.98623,0.857463,0.917032
106,0.418892,0.914832,0.914832,0.914832,0.914832,0.091924,0.120217,0.089858,0.987084,0.914832,0.948922
107,0.498985,0.84186,0.84186,0.84186,0.84186,0.090651,0.09343,0.083848,0.986123,0.84186,0.907957
108,0.413222,0.925668,0.925668,0.925668,0.925668,0.091994,0.117702,0.090515,0.987059,0.925668,0.954798
109,0.524508,0.817708,0.817708,0.817708,0.817708,0.090323,0.079388,0.081998,0.985611,0.817708,0.893745
110,0.42637,0.910047,0.910047,0.910047,0.910047,0.091821,0.119292,0.089424,0.987124,0.910047,0.946357
111,0.542884,0.790332,0.790332,0.790332,0.790332,0.090291,0.076411,0.080434,0.985478,0.790332,0.877091
112,0.431505,0.899155,0.899155,0.899155,0.899155,0.091661,0.118432,0.088584,0.987116,0.899155,0.940402
113,0.549191,0.774186,0.774186,0.774186,0.774186,0.09033,0.077524,0.079582,0.985516,0.774186,0.867008
114,0.434673,0.889114,0.889114,0.889114,0.889114,0.091547,0.117775,0.087864,0.987104,0.889114,0.934848
115,0.57423,0.743194,0.743194,0.743194,0.743194,0.090405,0.07991,0.07788,0.985692,0.743194,0.847152
116,0.443645,0.89006,0.89006,0.89006,0.89006,0.091487,0.11572,0.087802,0.987092,0.89006,0.935409
117,0.571036,0.735689,0.735689,0.735689,0.735689,0.09058,0.089514,0.077684,0.986166,0.735689,0.842172
118,0.445911,0.890651,0.890651,0.890651,0.890651,0.091555,0.117622,0.087957,0.987119,0.890651,0.935713
119,0.581881,0.721386,0.721386,0.721386,0.721386,0.181608,0.107853,0.097224,0.986646,0.721386,0.832637
120,0.477652,0.866184,0.866184,0.866184,0.866184,0.091337,0.115383,0.086279,0.987181,0.866184,0.922006
121,0.566357,0.747275,0.747275,0.747275,0.747275,0.181655,0.143411,0.13983,0.986972,0.747275,0.849867
