true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed,speed-accessory,standstill,systematic,triple
Benign,24357541,17342074,0,0,310,0,0,0,0,0,667,0,0
DoS,55781,89348,0,0,0,0,0,0,0,0,0,0,0
double,4846,7567,0,0,0,0,0,0,0,0,0,0,0
force-neutral,5299,445,0,0,0,0,0,0,0,0,0,0,0
fuzzing,46309,21000,0,0,0,0,0,0,0,0,12,0,0
interval,12171,28371,0,0,0,0,0,0,0,0,0,0,0
rpm,2527,2516,0,0,0,0,0,0,0,0,0,0,0
rpm-accessory,580,2566,0,0,0,0,0,0,0,0,0,0,0
speed,965,6506,0,0,0,0,0,0,0,0,0,0,0
speed-accessory,1178,1079,0,0,0,0,0,0,0,0,0,0,0
standstill,5098,641,0,0,0,0,0,0,0,0,0,0,0
systematic,13808,5977,0,0,0,0,0,0,0,0,6,0,0
triple,12998,20497,0,0,0,0,0,0,0,0,0,0,0
