true\pred,Benign,DoS,double,force-neutral,fuzzing,interval,rpm,rpm-accessory,speed,speed-accessory,standstill
Benign,40100899,1570412,0,0,29281,0,0,0,0,0,0
DoS,139086,6043,0,0,0,0,0,0,0,0,0
double,11240,1173,0,0,0,0,0,0,0,0,0
force-neutral,5744,0,0,0,0,0,0,0,0,0,0
fuzzing,58870,8449,0,0,2,0,0,0,0,0,0
interval,40542,0,0,0,0,0,0,0,0,0,0
rpm,4571,472,0,0,0,0,0,0,0,0,0
rpm-accessory,3146,0,0,0,0,0,0,0,0,0,0
speed,3670,3801,0,0,0,0,0,0,0,0,0
speed-accessory,1832,425,0,0,0,0,0,0,0,0,0
standstill,2477,0,0,0,3262,0,0,0,0,0,0
