round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
1,2.004085,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
2,1.337245,0.978355,0.978355,0.978355,0.978355,0.332056,0.32735,0.329686,0.992418,0.978355,0.985336
3,0.688199,0.875904,0.875904,0.875904,0.875904,0.33296,0.325247,0.313074,0.992365,0.875904,0.93033
4,0.385809,0.995733,0.995733,0.995733,0.995733,0.463622,0.422445,0.439107,0.994773,0.995733,0.995212
5,0.62862,0.673039,0.673039,0.673039,0.673039,0.334938,0.444567,0.272622,0.994097,0.673039,0.801062
6,0.342625,0.913823,0.913823,0.913823,0.913823,0.339641,0.479003,0.331766,0.994233,0.913823,0.951458
7,0.573597,0.69857,0.69857,0.69857,0.69857,0.334908,0.437516,0.278677,0.993948,0.69857,0.819055
8,0.30926,0.916102,0.916102,0.916102,0.916102,0.34058,0.497042,0.333845,0.994435,0.916102,0.952703
9,0.574664,0.690651,0.690651,0.690651,0.690651,0.334008,0.383355,0.275622,0.993144,0.690651,0.813648
10,0.254795,0.946566,0.946566,0.946566,0.946566,0.344616,0.500174,0.34657,0.994438,0.946566,0.969079
11,0.429199,0.762792,0.762792,0.762792,0.762792,0.334524,0.40197,0.292658,0.993367,0.762792,0.861997
12,0.262018,0.922748,0.922748,0.922748,0.922748,0.340618,0.485503,0.335166,0.994286,0.922748,0.956309
13,0.528846,0.711189,0.711189,0.711189,0.711189,0.334163,0.390361,0.280607,0.993236,0.711189,0.827825
14,0.202403,0.949588,0.949588,0.949588,0.949588,0.344641,0.49097,0.34713,0.994328,0.949588,0.97067
15,0.460458,0.729908,0.729908,0.729908,0.729908,0.33428,0.394535,0.28503,0.993285,0.729908,0.840458
16,0.245806,0.919138,0.919138,0.919138,0.919138,0.340107,0.480782,0.333582,0.994253,0.919138,0.954357
17,0.435117,0.753301,0.753301,0.753301,0.753301,0.334627,0.409371,0.290731,0.993482,0.753301,0.855853
18,0.199086,0.94723,0.94723,0.94723,0.94723,0.345698,0.514882,0.348609,0.994605,0.94723,0.969444
19,0.200738,0.933211,0.933211,0.933211,0.933211,0.334495,0.355248,0.326253,0.992737,0.933211,0.961851
20,0.16178,0.94021,0.94021,0.94021,0.94021,0.342753,0.487832,0.34214,0.994306,0.94021,0.965694
21,0.300069,0.845836,0.845836,0.845836,0.845836,0.335845,0.432024,0.312053,0.993685,0.845836,0.912964
22,0.109261,0.971668,0.971668,0.971668,0.971668,0.354041,0.498358,0.366603,0.994472,0.971668,0.982299
24,0.031707,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
25,0.035604,0.996233,0.996233,0.996233,0.996233,0.332079,0.333332,0.332704,0.992487,0.996233,0.994356
26,0.070811,0.967528,0.967528,0.967528,0.967528,0.351303,0.496973,0.36149,0.994435,0.967528,0.980123
27,0.037975,0.996227,0.996227,0.996227,0.996227,0.332079,0.33333,0.332703,0.992487,0.996227,0.994353
28,0.0444,0.990445,0.990445,0.990445,0.990445,0.39663,0.50464,0.425236,0.994952,0.990445,0.992426
29,0.025809,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
30,0.051069,0.981791,0.981791,0.981791,0.981791,0.366015,0.501745,0.386217,0.994617,0.981791,0.987656
31,0.024476,0.996236,0.996236,0.996236,0.996236,0.332079,0.333333,0.332705,0.992487,0.996236,0.994358
