true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11
class_0,0,0,0,2160104,25,96,0,0,0,0,0,0
class_1,0,2,0,239721,88898,359,0,0,0,0,0,0
class_2,0,0,0,917,640,0,0,0,0,0,0,0
class_3,0,0,0,1347889,4,20,0,0,0,0,0,0
class_4,0,0,0,19652,20367,0,0,0,0,0,0,0
class_5,0,0,0,85183,5,70,0,0,0,0,0,0
class_6,0,0,0,8316,250,42,0,0,0,0,0,0
class_7,0,0,0,591,325,1,0,0,0,0,0,0
class_8,0,0,0,975845,19224,700,0,0,0,0,0,0
class_9,0,0,0,1214124,1058,394,0,0,0,0,0,0
class_10,0,0,0,134911,1480,34,0,0,0,0,0,0
class_11,0,0,0,19825,9347,5,0,0,0,0,0,0
