true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11
class_0,0.000000,0.000000,0.000000,0.999944,0.000012,0.000044,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_1,0.000000,0.000006,0.000000,0.728680,0.270223,0.001091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_2,0.000000,0.000000,0.000000,0.588953,0.411047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_3,0.000000,0.000000,0.000000,0.999982,0.000003,0.000015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_4,0.000000,0.000000,0.000000,0.491067,0.508933,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_5,0.000000,0.000000,0.000000,0.999120,0.000059,0.000821,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_6,0.000000,0.000000,0.000000,0.966078,0.029043,0.004879,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_7,0.000000,0.000000,0.000000,0.644493,0.354417,0.001091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_8,0.000000,0.000000,0.000000,0.979991,0.019306,0.000703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_9,0.000000,0.000000,0.000000,0.998806,0.000870,0.000324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_10,0.000000,0.000000,0.000000,0.988902,0.010848,0.000249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_11,0.000000,0.000000,0.000000,0.679474,0.320355,0.000171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
