round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
31,7.881051,0.234787,0.234787,0.234787,0.234787,0.18231,0.254647,0.100985,0.106859,0.234787,0.094998
32,7.652057,0.234015,0.234015,0.234015,0.234015,0.228132,0.253428,0.103071,0.107362,0.234015,0.09405
33,7.481195,0.233274,0.233274,0.233274,0.233274,0.217733,0.252291,0.089598,0.106431,0.233274,0.091912
34,7.3162,0.232588,0.232588,0.232588,0.232588,0.127788,0.251148,0.079113,0.10609,0.232588,0.090663
35,7.20478,0.232096,0.232096,0.232096,0.232096,0.127016,0.250307,0.076888,0.105954,0.232096,0.089749
36,7.106521,0.231894,0.231894,0.231894,0.231894,0.127198,0.249875,0.076351,0.10602,0.231894,0.089357
37,7.008399,0.231771,0.231771,0.231771,0.231771,0.12707,0.249563,0.075936,0.105981,0.231771,0.089192
38,6.908886,0.231669,0.231669,0.231669,0.231669,0.125343,0.249221,0.070983,0.114539,0.231669,0.099659
39,6.79258,0.231645,0.231645,0.231645,0.231645,0.125422,0.248887,0.071399,0.114395,0.231645,0.099669
40,6.657555,0.231617,0.231617,0.231617,0.231617,0.125951,0.248512,0.071744,0.114641,0.231617,0.09978
41,6.538886,0.231543,0.231543,0.231543,0.231543,0.125917,0.24789,0.072103,0.114977,0.231543,0.10047
42,6.423783,0.231279,0.231279,0.231279,0.231279,0.210083,0.24603,0.072378,0.116533,0.231279,0.101631
43,6.321187,0.230829,0.230829,0.230829,0.230829,0.211126,0.242985,0.072338,0.117063,0.230829,0.10156
44,6.227687,0.229873,0.229873,0.229873,0.229873,0.210335,0.236798,0.07124,0.116923,0.229873,0.101549
45,6.110876,0.222829,0.222829,0.222829,0.222829,0.200481,0.192708,0.055661,0.113548,0.222829,0.097151
46,6.023699,0.220778,0.220778,0.220778,0.220778,0.204139,0.179679,0.055566,0.112283,0.220778,0.094997
47,5.909849,0.219231,0.219231,0.219231,0.219231,0.194254,0.169395,0.047776,0.10617,0.219231,0.090853
48,5.774623,0.218655,0.218655,0.218655,0.218655,0.194422,0.165195,0.048989,0.098883,0.218655,0.080847
49,5.666639,0.218357,0.218357,0.218357,0.218357,0.193888,0.162047,0.051101,0.096749,0.218357,0.079647
50,5.5489,0.218087,0.218087,0.218087,0.218087,0.116374,0.159551,0.049708,0.100783,0.218087,0.079243
51,5.473836,0.217762,0.217762,0.217762,0.217762,0.117538,0.155478,0.05116,0.10041,0.217762,0.078713
52,5.371037,0.217593,0.217593,0.217593,0.217593,0.117132,0.153449,0.050822,0.100254,0.217593,0.078542
53,5.275386,0.217295,0.217295,0.217295,0.217295,0.118226,0.149627,0.052198,0.100027,0.217295,0.078225
54,5.173134,0.216985,0.216985,0.216985,0.216985,0.118243,0.145709,0.052559,0.099788,0.216985,0.077974
55,5.083141,0.216645,0.216645,0.216645,0.216645,0.117436,0.141264,0.051322,0.099671,0.216645,0.077815
56,4.998766,0.216313,0.216313,0.216313,0.216313,0.117497,0.136907,0.050966,0.099559,0.216313,0.07762
57,4.906261,0.215965,0.215965,0.215965,0.215965,0.117019,0.132325,0.049922,0.099457,0.215965,0.077446
58,4.817529,0.215898,0.215898,0.215898,0.215898,0.116462,0.131446,0.049201,0.099431,0.215898,0.077419
59,4.703677,0.2157,0.2157,0.2157,0.2157,0.116389,0.128839,0.048539,0.09941,0.2157,0.077316
60,4.618861,0.21547,0.21547,0.21547,0.21547,0.116803,0.125812,0.048558,0.099349,0.21547,0.077173
