true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11
class_0,0,0,0,2160057,30,138,0,0,0,0,0,0
class_1,0,0,4,105897,204827,18252,0,0,0,0,0,0
class_2,0,0,11,217,1328,1,0,0,0,0,0,0
class_3,0,0,0,1347878,7,28,0,0,0,0,0,0
class_4,0,0,0,1422,38566,31,0,0,0,0,0,0
class_5,0,0,0,59483,18,25757,0,0,0,0,0,0
class_6,0,0,0,7801,295,512,0,0,0,0,0,0
class_7,0,0,0,123,790,4,0,0,0,0,0,0
class_8,0,0,0,963997,31564,208,0,0,0,0,0,0
class_9,0,0,0,1201917,1348,12311,0,0,0,0,0,0
class_10,0,0,0,124186,5460,6779,0,0,0,0,0,0
class_11,0,0,8,5368,23370,431,0,0,0,0,0,0
