true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11
class_0,0.000000,0.000000,0.000000,0.999922,0.000014,0.000064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_1,0.000000,0.000000,0.000012,0.321895,0.622612,0.055481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_2,0.000000,0.000000,0.007065,0.139371,0.852922,0.000642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_3,0.000000,0.000000,0.000000,0.999974,0.000005,0.000021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_4,0.000000,0.000000,0.000000,0.035533,0.963692,0.000775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_5,0.000000,0.000000,0.000000,0.697682,0.000211,0.302107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_6,0.000000,0.000000,0.000000,0.906250,0.034270,0.059480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_7,0.000000,0.000000,0.000000,0.134133,0.861505,0.004362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_8,0.000000,0.000000,0.000000,0.968093,0.031698,0.000209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_9,0.000000,0.000000,0.000000,0.988763,0.001109,0.010128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_10,0.000000,0.000000,0.000000,0.910288,0.040022,0.049690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
class_11,0.000000,0.000000,0.000274,0.183981,0.800973,0.014772,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
