round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
31,7.853295,0.235569,0.235569,0.235569,0.235569,0.181564,0.255843,0.102375,0.106801,0.235569,0.096284
32,7.581788,0.235219,0.235219,0.235219,0.235219,0.183226,0.2553,0.103179,0.106947,0.235219,0.095821
33,7.343646,0.234744,0.234744,0.234744,0.234744,0.180437,0.254543,0.10739,0.107519,0.234744,0.095507
34,7.15723,0.234306,0.234306,0.234306,0.234306,0.202882,0.25383,0.106293,0.107615,0.234306,0.094745
35,7.01923,0.233938,0.233938,0.233938,0.233938,0.203385,0.253201,0.105721,0.107642,0.233938,0.094133
36,6.914393,0.233498,0.233498,0.233498,0.233498,0.177536,0.2524,0.10609,0.107768,0.233498,0.093504
37,6.826223,0.23303,0.23303,0.23303,0.23303,0.192406,0.251616,0.105529,0.107918,0.23303,0.092711
38,6.744781,0.232593,0.232593,0.232593,0.232593,0.235891,0.250903,0.105784,0.108301,0.232593,0.09203
39,6.664114,0.232272,0.232272,0.232272,0.232272,0.237736,0.25031,0.106271,0.108567,0.232272,0.091555
40,6.592052,0.23203,0.23203,0.23203,0.23203,0.239078,0.249901,0.106723,0.108724,0.23203,0.091167
41,6.528776,0.231883,0.231883,0.231883,0.231883,0.239654,0.249575,0.107095,0.10857,0.231883,0.090941
42,6.437533,0.231836,0.231836,0.231836,0.231836,0.24092,0.249456,0.108068,0.108734,0.231836,0.090945
43,6.355104,0.231807,0.231807,0.231807,0.231807,0.242717,0.249376,0.109173,0.109246,0.231807,0.090963
44,6.225943,0.231763,0.231763,0.231763,0.231763,0.232306,0.249138,0.109979,0.109567,0.231763,0.090999
45,6.10179,0.231724,0.231724,0.231724,0.231724,0.224947,0.248888,0.110857,0.109904,0.231724,0.091041
46,5.989235,0.231657,0.231657,0.231657,0.231657,0.216508,0.248537,0.111499,0.11006,0.231657,0.09114
47,5.870277,0.231563,0.231563,0.231563,0.231563,0.212852,0.247928,0.111883,0.110137,0.231563,0.09115
48,5.77457,0.231415,0.231415,0.231415,0.231415,0.206221,0.246992,0.111721,0.110194,0.231415,0.091159
49,5.694898,0.231233,0.231233,0.231233,0.231233,0.209623,0.245891,0.112265,0.110299,0.231233,0.091137
50,5.578461,0.230981,0.230981,0.230981,0.230981,0.212405,0.244277,0.111784,0.11027,0.230981,0.091002
51,5.518831,0.230676,0.230676,0.230676,0.230676,0.211479,0.242376,0.111102,0.110141,0.230676,0.090778
52,5.433389,0.230371,0.230371,0.230371,0.230371,0.20855,0.240438,0.110091,0.110042,0.230371,0.090598
53,5.388581,0.229993,0.229993,0.229993,0.229993,0.213504,0.23801,0.109224,0.109945,0.229993,0.090351
54,5.299301,0.229536,0.229536,0.229536,0.229536,0.212495,0.235146,0.107977,0.109931,0.229536,0.090172
55,5.256322,0.226804,0.226804,0.226804,0.226804,0.208563,0.218035,0.098126,0.108955,0.226804,0.088305
56,5.182683,0.22398,0.22398,0.22398,0.22398,0.204265,0.200436,0.085316,0.107648,0.22398,0.086072
