true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11
class_0,0,0,0,0,0,0,2,0,2159116,0,1100,7
class_1,0,0,0,0,0,0,3,0,5179,0,467,323331
class_2,0,0,0,0,0,0,2,0,40,0,1,1514
class_3,0,0,0,0,0,0,69,0,1346964,168,703,9
class_4,0,0,0,0,0,0,0,0,437,7,41,39534
class_5,0,0,0,0,0,0,3394,0,15237,44,66489,94
class_6,0,0,0,0,0,0,8113,0,183,153,153,6
class_7,0,0,0,0,0,0,0,0,33,0,1,883
class_8,0,0,0,0,0,0,7,0,994985,1,767,9
class_9,0,0,0,0,0,0,1494,0,1294,1212155,567,66
class_10,0,0,0,0,0,0,1,0,1558,1,134849,16
class_11,0,0,0,0,0,0,0,0,247,13,25,28892
