true\pred,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11
class_0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.999487,0.000000,0.000509,0.000003
class_1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000000,0.015743,0.000000,0.001420,0.982829
class_2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001285,0.000000,0.025690,0.000000,0.000642,0.972383
class_3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000051,0.000000,0.999296,0.000125,0.000522,0.000007
class_4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010920,0.000175,0.001025,0.987881
class_5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.039809,0.000000,0.178716,0.000516,0.779856,0.001103
class_6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.942495,0.000000,0.021259,0.017774,0.017774,0.000697
class_7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035987,0.000000,0.001091,0.962923
class_8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.000000,0.999213,0.000001,0.000770,0.000009
class_9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001229,0.000000,0.001065,0.997186,0.000466,0.000054
class_10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.000000,0.011420,0.000007,0.988448,0.000117
class_11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008466,0.000446,0.000857,0.990232
