round,loss,accuracy,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
31,5.935003,0.23181,0.23181,0.23181,0.23181,0.2246,0.249334,0.092858,0.106807,0.23181,0.089153
32,4.464495,0.231152,0.231152,0.231152,0.231152,0.135191,0.245079,0.112634,0.057961,0.231152,0.09058
33,3.388772,0.223348,0.223348,0.223348,0.223348,0.126619,0.196117,0.086524,0.059086,0.223348,0.086758
34,2.798003,0.364135,0.364135,0.364135,0.364135,0.190325,0.251701,0.145459,0.195463,0.364135,0.23194
35,2.841637,0.369717,0.369717,0.369717,0.369717,0.130588,0.19794,0.129219,0.164828,0.369717,0.217759
36,3.217558,0.199595,0.199595,0.199595,0.199595,0.212267,0.168679,0.119546,0.260731,0.199595,0.106408
37,3.703898,0.177759,0.177759,0.177759,0.177759,0.143868,0.164406,0.104118,0.172045,0.177759,0.064351
38,4.062989,0.318049,0.318049,0.318049,0.318049,0.221827,0.22592,0.158756,0.38569,0.318049,0.227952
39,4.514168,0.35959,0.35959,0.35959,0.35959,0.28737,0.248552,0.159174,0.403446,0.35959,0.251799
40,4.96035,0.366386,0.366386,0.366386,0.366386,0.2892,0.288863,0.194237,0.406164,0.366386,0.257355
41,5.457437,0.369044,0.369044,0.369044,0.369044,0.298574,0.343948,0.241722,0.404642,0.369044,0.261754
42,6.01233,0.371697,0.371697,0.371697,0.371697,0.281792,0.371015,0.259283,0.356039,0.371697,0.265951
43,6.439791,0.372704,0.372704,0.372704,0.372704,0.232959,0.385655,0.260253,0.24391,0.372704,0.266968
44,6.884855,0.373451,0.373451,0.373451,0.373451,0.246702,0.391596,0.268303,0.244725,0.373451,0.267724
45,7.303862,0.373839,0.373839,0.373839,0.373839,0.247417,0.397312,0.270432,0.245735,0.373839,0.26844
46,7.763197,0.373943,0.373943,0.373943,0.373943,0.249179,0.399046,0.271788,0.245754,0.373943,0.268504
47,8.077078,0.37421,0.37421,0.37421,0.37421,0.244547,0.402425,0.270225,0.245128,0.37421,0.26833
48,8.384773,0.374287,0.374287,0.374287,0.374287,0.243977,0.403667,0.270273,0.245048,0.374287,0.268329
49,8.752955,0.374328,0.374328,0.374328,0.374328,0.241628,0.405196,0.269336,0.245237,0.374328,0.268448
50,9.013547,0.374356,0.374356,0.374356,0.374356,0.242433,0.404991,0.2697,0.245257,0.374356,0.268478
51,9.256775,0.374441,0.374441,0.374441,0.374441,0.242953,0.405152,0.269964,0.244735,0.374441,0.268248
52,9.532729,0.374405,0.374405,0.374405,0.374405,0.232547,0.40666,0.264124,0.244353,0.374405,0.268017
53,9.790618,0.374505,0.374505,0.374505,0.374505,0.223127,0.40744,0.25835,0.242374,0.374505,0.266947
54,9.919707,0.374507,0.374507,0.374507,0.374507,0.223453,0.408193,0.258648,0.242887,0.374507,0.267249
55,10.087066,0.374574,0.374574,0.374574,0.374574,0.219061,0.407922,0.255641,0.241268,0.374574,0.266298
56,10.166391,0.374618,0.374618,0.374618,0.374618,0.218806,0.40798,0.255541,0.241386,0.374618,0.266401
57,10.155594,0.374611,0.374611,0.374611,0.374611,0.217106,0.408576,0.254505,0.241039,0.374611,0.266173
58,10.266957,0.374584,0.374584,0.374584,0.374584,0.215999,0.409058,0.253887,0.241333,0.374584,0.266344
59,10.341246,0.37459,0.37459,0.37459,0.37459,0.216181,0.409337,0.254073,0.241579,0.37459,0.266503
60,10.358657,0.37462,0.37462,0.37462,0.37462,0.214176,0.409798,0.252735,0.241129,0.37462,0.266236
